"","X","file_id","newspaper_name1","news_address","news_location.lon","news_location.lat","city1","newspaper_state_code","date","year","page","URL","lynch_address","city_lynch","state_lynch","lynching.lon","lynching.lat","Comments.or.notes.","index","sn","news_location","lynch_location","miles","in_state","decade","Newspaper_State","Newspaper_Region"
"225",235,8582,"Chicago daily tribune ","Chicago, Illinois",-87.6298,41.878114,"Chicago","IL","6/20/1879",1879,"seq-6","https://articleextractor.org/pages/8582/dlc_pulaski_ver01/sn84031492/1879/06/20/ed-1/seq-6/1","Spartanburg, SC","Spartanburg","SC",-81.932048,34.949567,NA,2825,"sn84031492","-87.6298, 41.878114","-81.932048, 34.949567",570,"N","1870s","Illinois","North Central"
"226",236,8585,NA,"NA, South Dakota",-99.90181,43.969515,NA,"SD","4/28/1892",1892,"seq-3","https://articleextractor.org/pages/8585/sdhi_dagger_ver01/sn2001063133/1892/04/28/ed-1/seq-3/1","Pointe Coupee Parish, LA","Pointe Coupee Parish","LA",-91.598396,30.610217,NA,2827,"sn2001063133","-99.90181, 43.969515","-91.598396, 30.610217",1030,"N","1890s","South Dakota","North Central"
"227",237,8586,"Kansas City daily journal ","Kansas City, Missouri",-94.57857,39.099727,"Kansas City","MO","5/20/1895",1895,"seq-1","https://articleextractor.org/pages/8586/mohi_edwards_ver01/sn86063624/1895/05/20/ed-1/seq-1/1","Lafayette County, FL","Lafayette County","FL",-83.207764,30.029957,NA,2828,"sn86063624","-94.57857, 39.099727","-83.207764, 30.029957",900,"N","1890s","Missouri","North Central"
"228",238,8587,"The Elbert County tribune ","Elbert, Colorado",-104.53715,39.219468,"Elbert","CO","7/5/1906",1906,"seq-4","https://articleextractor.org/pages/8587/cohi_jasper_ver01/sn90051300/1906/07/05/ed-1/seq-4/1","Bradley, OK","Bradley","OK",-97.708369,34.878127,NA,2829,"sn90051300","-104.53715, 39.219468","-97.708369, 34.878127",482,"N","1900s","Colorado","West"
"229",239,8590,"The Oakes times ","Oakes, North Dakota",-98.09038,46.138579,"Oakes","ND","12/27/1906",1906,"seq-2","https://articleextractor.org/pages/8590/ndhi_carbon_ver01/sn87096017/1906/12/27/ed-1/seq-2/1","Chattanooga, TN","Chattanooga","TN",-85.309399,35.045798,NA,2830,"sn87096017","-98.09038, 46.138579","-85.309399, 35.045798",1017,"N","1900s","North Dakota","North Central"
"230",240,8591,"Democratic messenger ","Snow Hill, Maryland",-75.3927,38.177063,"Snow Hill","MD","8/11/1906",1906,"seq-8","https://articleextractor.org/pages/8591/mdu_denton_ver01/sn84026758/1906/08/11/ed-1/seq-8/1","Salisbury, MD","Salisbury","MD",-75.599369,38.360674,NA,2831,"sn84026758","-75.3927, 38.177063","-75.599369, 38.360674",17,"Y","1900s","Maryland","South"
"231",241,8594,NA,"NA, Oregon",-120.5542,43.804133,NA,"OR","10/24/1906",1906,"seq-8","https://articleextractor.org/pages/8594/oru_framebones_ver01/sn99063957/1906/10/24/ed-1/seq-8/1","Ferry, LA","Ferry","LA",NA,NA,NA,2833,"sn99063957","-120.5542, 43.804133","NA, NA",NA,"N","1900s","Oregon","West"
"232",242,8596,NA,"NA, Oklahoma",99.86272,8.528547,NA,"OK","1/12/1906",1906,"seq-4","https://articleextractor.org/pages/8596/okhi_greer_ver01/sn96093062/1906/01/12/ed-1/seq-4/1","Moscow, TX","Moscow","TX",-94.825209,30.913248,"second article - a fear of lynching mentioned",2834,"sn96093062","99.86272, 8.528547","-94.825209, 30.913248",9554,"N","1900s","Oklahoma","South"
"233",243,8597,"The Fargo forum and daily republican ","Fargo, North Dakota",-96.7898,46.877186,"Fargo","ND","8/17/1906",1906,"seq-1","https://articleextractor.org/pages/8597/ndhi_edosian_ver01/sn85042224/1906/08/17/ed-1/seq-1/1","Greenwood, SC","Greenwood","SC",-82.161788,34.1954,NA,2835,"sn85042224","-96.7898, 46.877186","-82.161788, 34.1954",1163,"N","1900s","North Dakota","North Central"
"234",244,8598,"The evening world ","New York, New York",-74.00597,40.712775,"New York","NY","8/1/1892",1892,"seq-5","https://articleextractor.org/pages/8598/nn_goethe_ver01/sn83030193/1892/08/01/ed-4/seq-5/1","Denver, CO","Denver","CO",-104.990251,39.739236,"narrowly avoided a lynch mob, it's also in a town outside of Denver that wasn't specified",2836,"sn83030193","-74.00597, 40.712775","-104.990251, 39.739236",1629,"N","1890s","New York","Northeast"
"235",245,8600,"The morning news ","Savannah, Georgia",-81.0912,32.080899,"Savannah","GA","4/26/1893",1893,"seq-4","https://articleextractor.org/pages/8600/gu_drew_ver02/sn86063034/1893/04/26/ed-1/seq-4/1","Denmark, SC","Denmark","SC",-81.142324,33.322655,NA,2837,"sn86063034","-81.0912, 32.080899","-81.142324, 33.322655",86,"N","1890s","Georgia","South"
"236",246,8602,"Reporter and farmer ","Webster, South Dakota",-97.52009,45.33218,"Webster","SD","9/27/1894",1894,"seq-7","https://articleextractor.org/pages/8602/sdhi_leek_ver02/sn99068116/1894/09/27/ed-1/seq-7/1","McGehee, AK","McGehee","AK",-91.383286,33.610759,NA,2838,"sn99068116","-97.52009, 45.33218","-91.383286, 33.610759",874,"N","1890s","South Dakota","North Central"
"237",247,8603,NA,"NA, Illinois",-89.39853,40.633125,NA,"IL","6/28/1894",1894,"seq-4","https://articleextractor.org/pages/8603/iune_ephemera_ver01/sn92053934/1894/06/28/ed-1/seq-4/1","Decatur, IL","Decatur","IL",-88.9548,39.840315,"mob wants to lynch someone but hasn't yet",2839,"sn92053934","-89.39853, 40.633125","-88.9548, 39.840315",60,"Y","1890s","Illinois","North Central"
"238",248,8604,"The pioneer express ","Pembina, North Dakota",-97.24368,48.966377,"Pembina","ND","8/10/1894",1894,"seq-1","https://articleextractor.org/pages/8604/ndhi_almont_ver01/sn88076741/1894/08/10/ed-1/seq-1/1","Luraville, FL","Luraville","FL",-83.169303,30.122445,"unsure if lynching was successful",2840,"sn88076741","-97.24368, 48.966377","-83.169303, 30.122445",1499,"N","1890s","North Dakota","North Central"
"239",249,8605,"The true northerner ","Paw Paw, Michigan",-85.89113,42.217817,"Paw Paw","MI","10/26/1900",1900,"seq-3","https://articleextractor.org/pages/8605/mimtptc_gaylord_ver02/sn85033781/1900/10/26/ed-1/seq-3/1","Vicksburg, MS","Vicksburg","MS",-90.877882,32.352646,NA,2841,"sn85033781","-85.89113, 42.217817","-90.877882, 32.352646",735,"N","1900s","Michigan","North Central"
"240",250,8607,"The Wheeling daily intelligencer ","Wheeling, West Virginia",-80.72092,40.063962,"Wheeling","WV","7/7/1887",1887,"seq-1","https://articleextractor.org/pages/8607/wvu_france_ver01/sn84026844/1887/07/07/ed-1/seq-1/1","Towson, MD","Towson","MD",-76.601912,39.401496,"attempted lynching but mob was stopped",2842,"sn84026844","-80.72092, 40.063962","-76.601912, 39.401496",224,"N","1880s","West Virginia","South"
"241",251,8610,"The Abilene reflector ","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS","5/5/1887",1887,"seq-2","https://articleextractor.org/pages/8610/khi_garwood_ver02/sn84029385/1887/05/05/ed-1/seq-2/1","Louisville, KY","Louisville","KY",-85.758456,38.252665,"attempted lynching but mob was stopped by military and police",2843,"sn84029385","-97.21391, 38.917222","-85.758456, 38.252665",621,"N","1880s","Kansas","North Central"
"242",252,8610,"The Abilene reflector ","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS","5/5/1887",1887,"seq-2","https://articleextractor.org/pages/8610/khi_garwood_ver02/sn84029385/1887/05/05/ed-1/seq-2/1","Proctor, WV","Proctor","WV",-80.823788,39.710263,NA,2843,"sn84029385","-97.21391, 38.917222","-80.823788, 39.710263",878,"N","1880s","Kansas","North Central"
"243",253,8610,"The Abilene reflector ","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS","5/5/1887",1887,"seq-2","https://articleextractor.org/pages/8610/khi_garwood_ver02/sn84029385/1887/05/05/ed-1/seq-2/1","Louisville, KY","Louisville","KY",-85.758456,38.252665,"attempted lynching but mob was stopped by military and police",2844,"sn84029385","-97.21391, 38.917222","-85.758456, 38.252665",621,"N","1880s","Kansas","North Central"
"244",254,8610,"The Abilene reflector ","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS","5/5/1887",1887,"seq-2","https://articleextractor.org/pages/8610/khi_garwood_ver02/sn84029385/1887/05/05/ed-1/seq-2/1","Proctor, WV","Proctor","WV",-80.823788,39.710263,NA,2844,"sn84029385","-97.21391, 38.917222","-80.823788, 39.710263",878,"N","1880s","Kansas","North Central"
"245",255,8610,"The Abilene reflector ","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS","5/5/1887",1887,"seq-2","https://articleextractor.org/pages/8610/khi_garwood_ver02/sn84029385/1887/05/05/ed-1/seq-2/1","Louisville, KY","Louisville","KY",-85.758456,38.252665,"attempted lynching but mob was stopped by military and police",2845,"sn84029385","-97.21391, 38.917222","-85.758456, 38.252665",621,"N","1880s","Kansas","North Central"
"246",256,8610,"The Abilene reflector ","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS","5/5/1887",1887,"seq-2","https://articleextractor.org/pages/8610/khi_garwood_ver02/sn84029385/1887/05/05/ed-1/seq-2/1","Proctor, WV","Proctor","WV",-80.823788,39.710263,NA,2845,"sn84029385","-97.21391, 38.917222","-80.823788, 39.710263",878,"N","1880s","Kansas","North Central"
"247",257,8618,"Kansas City daily journal ","Kansas City, Missouri",-94.57857,39.099727,"Kansas City","MO","1/19/1897",1897,"seq-2","https://articleextractor.org/pages/8618/mohi_edwards_ver01/sn86063624/1897/01/19/ed-1/seq-2/1","Sedalia, MO","Sedalia","MO",-93.228261,38.704461,"first article - mention of possibly being lynched",2849,"sn86063624","-94.57857, 39.099727","-93.228261, 38.704461",78,"Y","1890s","Missouri","North Central"
"248",258,8619,NA,"NA, Texas",-99.90181,31.968599,NA,"TX","7/30/1897",1897,"seq-1","https://articleextractor.org/pages/8619/txdn_ferrari_ver02/sn86064199/1897/07/30/ed-1/seq-1/1","San Antonio, TX","San Antonio","TX",-98.494592,29.42519,"lynching prevented, another attempt might happen story states",2850,"sn86064199","-99.90181, 31.968599","-98.494592, 29.42519",195,"Y","1890s","Texas","South"
"249",259,8621,NA,"NA, Mississippi",-89.39853,32.354668,NA,"MS","1/14/1898",1898,"seq-2","https://articleextractor.org/pages/8621/msar_daisy_ver01/sn87065532/1898/01/14/ed-1/seq-2/1","Bearden, AK","Bearden","AK",-92.615661,33.72465,NA,2851,"sn87065532","-89.39853, 32.354668","-92.615661, 33.72465",209,"N","1890s","Mississippi","South"
"250",260,8622,NA,"NA, South Dakota",-99.90181,43.969515,NA,"SD","4/25/1895",1895,"seq-4","https://articleextractor.org/pages/8622/sdhi_guava_ver02/sn99068086/1895/04/25/ed-1/seq-4/1","Bardstown, KY","Bardstown","KY",-85.466902,37.809228,"a photographer from that city was taking photos of this lynching",2852,"sn99068086","-99.90181, 43.969515","-85.466902, 37.809228",865,"N","1890s","South Dakota","North Central"
"251",261,8623,"St. Paul daily globe ","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN","4/22/1895",1895,"seq-5","https://articleextractor.org/pages/8623/mnhi_onamia_ver01/sn90059522/1895/04/22/ed-1/seq-5/1","Greenville, AL","Greenville","AL",-86.617752,31.829597,NA,2853,"sn90059522","-93.08996, 44.953703","-86.617752, 31.829597",972,"N","1890s","Minnesota","North Central"
"252",262,8624,"Western Kansas world ","WaKeeney, Kansas",-99.87957,39.025008,"WaKeeney","KS","7/11/1896",1896,"seq-2","https://articleextractor.org/pages/8624/khi_kauffman_ver01/sn82015485/1896/07/11/ed-1/seq-2/1","Gaithersburg, MD","Gaithersburg","MD",-77.201606,39.143969,"second article- attempted lynching related to incident",2854,"sn82015485","-99.87957, 39.025008","-77.201606, 39.143969",1214,"N","1890s","Kansas","North Central"
"253",263,8625,"Abilene weekly reflector ","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS","6/25/1896",1896,"seq-12","https://articleextractor.org/pages/8625/khi_lawrence_ver01/sn84029386/1896/06/25/ed-1/seq-12/1","Hartselle, AL","Hartselle","AL",-86.935284,34.443428,NA,2855,"sn84029386","-97.21391, 38.917222","-86.935284, 34.443428",648,"N","1890s","Kansas","North Central"
"254",264,8627,"The daily worker ","Chicago, Illinois",-87.6298,41.878114,"Chicago","IL","11/5/1934",1934,"seq-5","https://articleextractor.org/pages/8627/iune_garnet_ver01/sn84020097/1934/11/05/ed-1/seq-5/1","Columbia, SC","Columbia","SC",-81.034814,34.00071,"first article - attempted lynching",2856,"sn84020097","-87.6298, 41.878114","-81.034814, 34.00071",652,"N","1930s","Illinois","North Central"
"255",265,8627,"The daily worker ","Chicago, Illinois",-87.6298,41.878114,"Chicago","IL","11/5/1934",1934,"seq-5","https://articleextractor.org/pages/8627/iune_garnet_ver01/sn84020097/1934/11/05/ed-1/seq-5/1","Columbia, SC","Columbia","SC",-81.034814,34.00071,"first article - attempted lynching",2857,"sn84020097","-87.6298, 41.878114","-81.034814, 34.00071",652,"N","1930s","Illinois","North Central"
"256",266,8630,"The Superior times ","Superior, Wisconsin",-92.10408,46.720774,"Superior","WI","12/15/1877",1877,"seq-2","https://articleextractor.org/pages/8630/whi_florence_ver01/sn85040344/1877/12/15/ed-1/seq-2/1","Columbia, TN","Columbia","TN",-87.035283,35.615072,NA,2858,"sn85040344","-92.10408, 46.720774","-87.035283, 35.615072",812,"N","1870s","Wisconsin","North Central"
"257",267,8632,NA,"NA, Tennessee",-86.58045,35.517491,NA,"TN","9/13/1889",1889,"seq-1","https://articleextractor.org/pages/8632/tu_ida_ver01/sn89058007/1889/09/13/ed-1/seq-1/1","Fayetteville, TN","Fayetteville","TN",-86.570551,35.152027,"first article - person in jail to prevent lynching,",2859,"sn89058007","-86.58045, 35.517491","-86.570551, 35.152027",25,"Y","1880s","Tennessee","South"
"258",268,8632,NA,"NA, Tennessee",-86.58045,35.517491,NA,"TN","9/13/1889",1889,"seq-1","https://articleextractor.org/pages/8632/tu_ida_ver01/sn89058007/1889/09/13/ed-1/seq-1/1","Fayetteville, TN","Fayetteville","TN",-86.570551,35.152027,"first article - person in jail to prevent lynching,",2860,"sn89058007","-86.58045, 35.517491","-86.570551, 35.152027",25,"Y","1880s","Tennessee","South"
"259",269,8632,NA,"NA, Tennessee",-86.58045,35.517491,NA,"TN","9/13/1889",1889,"seq-1","https://articleextractor.org/pages/8632/tu_ida_ver01/sn89058007/1889/09/13/ed-1/seq-1/1","Fayetteville, TN","Fayetteville","TN",-86.570551,35.152027,"first article - person in jail to prevent lynching,",2861,"sn89058007","-86.58045, 35.517491","-86.570551, 35.152027",25,"Y","1880s","Tennessee","South"
"260",270,8633,"Helena weekly herald ","Helena, Montana",-112.03911,46.589145,"Helena","MT","7/25/1889",1889,"seq-3","https://articleextractor.org/pages/8633/mthi_leopardfrog_ver01/sn84036143/1889/07/25/ed-1/seq-3/1","Clinton, IA","Clinton","IA",-90.188738,41.844473,"first article - announcing that lynching will happen that night",2862,"sn84036143","-112.03911, 46.589145","-90.188738, 41.844473",1128,"N","1880s","Montana","West"
"261",271,8633,"Helena weekly herald ","Helena, Montana",-112.03911,46.589145,"Helena","MT","7/25/1889",1889,"seq-3","https://articleextractor.org/pages/8633/mthi_leopardfrog_ver01/sn84036143/1889/07/25/ed-1/seq-3/1","Clinton, IA","Clinton","IA",-90.188738,41.844473,"first article - announcing that lynching will happen that night",2863,"sn84036143","-112.03911, 46.589145","-90.188738, 41.844473",1128,"N","1880s","Montana","West"
"262",272,8633,"Helena weekly herald ","Helena, Montana",-112.03911,46.589145,"Helena","MT","7/25/1889",1889,"seq-3","https://articleextractor.org/pages/8633/mthi_leopardfrog_ver01/sn84036143/1889/07/25/ed-1/seq-3/1","Clinton, IA","Clinton","IA",-90.188738,41.844473,"first article - announcing that lynching will happen that night",2864,"sn84036143","-112.03911, 46.589145","-90.188738, 41.844473",1128,"N","1880s","Montana","West"
"263",273,8638,"Daily globe ","St. Paul, Minnesota",-93.08996,44.953703,"St. Paul","MN","5/2/1882",1882,"seq-2","https://articleextractor.org/pages/8638/mnhi_anoka_ver02/sn83025287/1882/05/02/ed-1/seq-2/1","Minneapolis, MN","Minneapolis","MN",-93.265011,44.977753,NA,2866,"sn83025287","-93.08996, 44.953703","-93.265011, 44.977753",9,"Y","1880s","Minnesota","North Central"
"264",274,8639,"The Dallas daily herald ","Dallas, Texas",-96.79699,32.776664,"Dallas","TX","10/28/1886",1886,"seq-6","https://articleextractor.org/pages/8639/txdn_eagle_ver01/sn83025733/1886/10/28/ed-1/seq-6/1","Brownsville, TN","Brownsville","TN",-89.262291,35.593967,NA,2867,"sn83025733","-96.79699, 32.776664","-89.262291, 35.593967",473,"N","1880s","Texas","South"
"265",275,8641,"The Stark County Democrat ","Canton, Ohio",-81.37845,40.798947,"Canton","OH","4/1/1886",1886,"seq-1","https://articleextractor.org/pages/8641/ohi_jaques_ver01/sn84028490/1886/04/01/ed-1/seq-1/1","Ft. Wayne, IN","Ft. Wayne","IN",-85.139351,41.079273,"first article - armed posse looking for accused criminal, not stated what they'll do if they find him - MB",2868,"sn84028490","-81.37845, 40.798947","-85.139351, 41.079273",197,"N","1880s","Ohio","North Central"
"266",276,8641,"The Stark County Democrat ","Canton, Ohio",-81.37845,40.798947,"Canton","OH","4/1/1886",1886,"seq-1","https://articleextractor.org/pages/8641/ohi_jaques_ver01/sn84028490/1886/04/01/ed-1/seq-1/1","Ft. Wayne, IN","Ft. Wayne","IN",-85.139351,41.079273,"first article - armed posse looking for accused criminal, not stated what they'll do if they find him - MB",2869,"sn84028490","-81.37845, 40.798947","-85.139351, 41.079273",197,"N","1880s","Ohio","North Central"
"267",277,8642,"The Cincinnati daily star ",", Ohio",-82.90712,40.417287,"","OH","4/18/1876",1876,"seq-3","https://articleextractor.org/pages/8642/ohi_himilco_ver01/sn85025759/1876/04/18/ed-1/seq-3/1","Danville, KY","Danville","KY",-84.77217,37.645633,NA,2870,"sn85025759","-82.90712, 40.417287","-84.77217, 37.645633",216,"N","1870s","Ohio","North Central"
"268",278,8643,"The interior journal ","Stanford, Kentucky",-84.66189,37.53119,"Stanford","KY","7/28/1876",1876,"seq-2","https://articleextractor.org/pages/8643/kyu_albatross_ver01/sn84038328/1876/07/28/ed-1/seq-2/1","no city listed, KY","no city listed","KY",-84.270018,37.839333,"article only says Northern Kentucky",2871,"sn84038328","-84.66189, 37.53119","-84.270018, 37.839333",30,"Y","1870s","Kentucky","South"
"269",279,8644,"Morning journal and courier ","New Haven , Connecticut",-72.92788,41.308274,"New Haven ","CT","11/14/1882",1882,"seq-3","https://articleextractor.org/pages/8644/ct_gum_ver01/sn82015483/1882/11/14/ed-1/seq-3/1","Ashland, KY","Ashland","KY",-82.637939,38.478414,"attempted lynching",2872,"sn82015483","-72.92788, 41.308274","-82.637939, 38.478414",551,"N","1880s","Connecticut","Northeast"
"270",280,8646,"Mower County transcript ","Lansing, Minnesota",-92.97019,43.74524,"Lansing","MN","1/27/1897",1897,"seq-2","https://articleextractor.org/pages/8646/mnhi_rolls_ver01/sn85025431/1897/01/27/ed-1/seq-2/1","no city listed, LA","no city listed","LA",-118.242643,34.054908,"short one sentence story with only state listed",2873,"sn85025431","-92.97019, 43.74524","-118.242643, 34.054908",1508,"N","1890s","Minnesota","North Central"
"271",281,8647,NA,"NA, Idaho",-116.55978,43.578817,NA,"ID","9/18/1894",1894,"seq-1","https://articleextractor.org/pages/8647/idhi_james_ver01/sn88056158/1894/09/18/ed-1/seq-1/1","no city listed, KS","no city listed","KS",-98.484246,39.011902,"no city listed for either, lynchings mentioned in passing during quote",2874,"sn88056158","-116.55978, 43.578817","-98.484246, 39.011902",989,"N","1890s","Idaho","West"
"272",282,8648,"The Hocking sentinel ","Logan, Ohio",-82.4071,39.540067,"Logan","OH","12/2/1897",1897,"seq-2","https://articleextractor.org/pages/8648/ohi_delta_ver01/sn85038119/1897/12/02/ed-1/seq-2/1","Screven, WI","Screven","WI",-82.01706,31.486325,NA,2875,"sn85038119","-82.4071, 39.540067","-82.01706, 31.486325",558,"N","1890s","Ohio","North Central"
"273",283,8649,"Waterbury evening Democrat ","Waterbury, Connecticut",-73.0515,41.558152,"Waterbury","CT","9/6/1894",1894,"seq-1","https://articleextractor.org/pages/8649/ct_gum_ver01/sn94053256/1894/09/06/ed-1/seq-1/1","Millington, TN","Millington","TN",-89.897308,35.341474,NA,2876,"sn94053256","-73.0515, 41.558152","-89.897308, 35.341474",1006,"N","1890s","Connecticut","Northeast"
"274",284,8650,"Daily public ledger ","Maysville, Kentucky",-83.74437,38.641185,"Maysville","KY","6/6/1895",1895,"seq-3","https://articleextractor.org/pages/8650/kyu_gandhi_ver01/sn86069117/1895/06/06/ed-1/seq-3/1","Strasburg, AL","Strasburg","AL",-86.902298,32.318231,NA,2877,"sn86069117","-83.74437, 38.641185","-86.902298, 32.318231",472,"N","1890s","Kentucky","South"
"275",285,8651,"Belmont chronicle ","St. Clairsville, Ohio",-80.90176,40.08032,"St. Clairsville","OH","1/25/1894",1894,"seq-1","https://articleextractor.org/pages/8651/ohi_feste_ver01/sn85026241/1894/01/25/ed-1/seq-1/1","Manchester, MO","Manchester","MO",-90.509288,38.596998,"second article - attempted lynching was stopped",2878,"sn85026241","-80.90176, 40.08032","-90.509288, 38.596998",524,"N","1890s","Ohio","North Central"
"276",286,8651,"Belmont chronicle ","St. Clairsville, Ohio",-80.90176,40.08032,"St. Clairsville","OH","1/25/1894",1894,"seq-1","https://articleextractor.org/pages/8651/ohi_feste_ver01/sn85026241/1894/01/25/ed-1/seq-1/1","Manchester, MO","Manchester","MO",-90.509288,38.596998,"second article - attempted lynching was stopped",2879,"sn85026241","-80.90176, 40.08032","-90.509288, 38.596998",524,"N","1890s","Ohio","North Central"
"277",287,8655,NA,"NA, Nebraska",-99.90181,41.492537,NA,"NE","5/7/1893",1893,"seq-8","https://articleextractor.org/pages/8655/nbu_alliance_ver01/sn99021999/1893/05/07/ed-1/seq-8/1","Willacoochee, GA","Willacoochee","GA",-83.045983,31.340755,"lynch threat",2881,"sn99021999","-99.90181, 41.492537","-83.045983, 31.340755",1168,"N","1890s","Nebraska","North Central"
"278",288,8657,"Washington standard ","Olympia, Washington",-122.90069,47.037874,"Olympia","WA","12/14/1906",1906,"seq-2","https://articleextractor.org/pages/8657/wa_kittitas_ver01/sn84022770/1906/12/14/ed-1/seq-2/1","Herkimer, NY","Herkimer","NY",-74.985989,43.025626,"lynch threat mentioned - MB",2882,"sn84022770","-122.90069, 47.037874","-74.985989, 43.025626",2322,"N","1900s","Washington","West"
"279",289,8657,"Washington standard ","Olympia, Washington",-122.90069,47.037874,"Olympia","WA","12/14/1906",1906,"seq-2","https://articleextractor.org/pages/8657/wa_kittitas_ver01/sn84022770/1906/12/14/ed-1/seq-2/1","Herkimer, NY","Herkimer","NY",-74.985989,43.025626,"lynch threat mentioned - MB",2883,"sn84022770","-122.90069, 47.037874","-74.985989, 43.025626",2322,"N","1900s","Washington","West"
"280",290,8663,"The Wheeling daily intelligencer ","Wheeling, West Virginia",-80.72092,40.063962,"Wheeling","WV","7/29/1893",1893,"seq-4","https://articleextractor.org/pages/8663/wvu_france_ver01/sn84026844/1893/07/29/ed-1/seq-4/1","Denver, CO","Denver","CO",-104.990251,39.739236,"lynching of Italian man - MB",2884,"sn84026844","-80.72092, 40.063962","-104.990251, 39.739236",1284,"N","1890s","West Virginia","South"
"281",291,8664,"The Seattle star ","Seattle, Washington",-122.33285,47.606139,"Seattle","WA","9/24/1906",1906,"seq-7","https://articleextractor.org/pages/8664/wa_indianplum_ver02/sn87093407/1906/09/24/ed-1/seq-7/1","East Point, GA","East Point","GA",-84.439372,33.679553,NA,2885,"sn87093407","-122.33285, 47.606139","-84.439372, 33.679553",2181,"N","1900s","Washington","West"
"282",292,8665,"Evening journal ","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE","4/22/1895",1895,"seq-2","https://articleextractor.org/pages/8665/deu_arden_ver01/sn85042354/1895/04/22/ed-1/seq-2/1","Greenville, AL","Greenville","AL",-86.617752,31.829597,NA,2886,"sn85042354","-75.54839, 39.744655","-86.617752, 31.829597",827,"N","1890s","Delaware","South"
"283",293,8668,"Fisherman & farmer ","Edenton, North Carolina",-76.60772,36.057938,"Edenton","NC","4/3/1891",1891,"seq-6","https://articleextractor.org/pages/8668/ncu_elk_ver01/sn91068084/1891/04/03/ed-1/seq-6/1","New Orleans, LA","New Orleans","LA",-90.071532,29.951066,"super long article on this incident - MB",2887,"sn91068084","-76.60772, 36.057938","-90.071532, 29.951066",887,"N","1890s","North Carolina","South"
"284",300,8670,"The Seattle post-intelligencer ","Seattle, Washington",-122.33285,47.606139,"Seattle","WA","10/22/1893",1893,"seq-4","https://articleextractor.org/pages/8670/wa_forks_ver01/sn83045604/1893/10/22/ed-1/seq-4/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2894,"sn83045604","-122.33285, 47.606139","-79.941427, 37.27097",2247,"N","1890s","Washington","West"
"285",301,8671,NA,"NA, Michigan",-85.60236,44.314844,NA,"MI","6/9/1891",1891,"seq-1","https://articleextractor.org/pages/8671/mimtptc_adrian_ver01/sn98066392/1891/06/09/ed-1/seq-1/1","Wickliffe, KY","Wickliffe","KY",-89.089235,36.964775,NA,2895,"sn98066392","-85.60236, 44.314844","-89.089235, 36.964775",540,"N","1890s","Michigan","North Central"
"286",302,8673,"The morning news ","Savannah, Georgia",-81.0912,32.080899,"Savannah","GA","10/27/1894",1894,"seq-1","https://articleextractor.org/pages/8673/gu_drew_ver02/sn86063034/1894/10/27/ed-1/seq-1/1","Millington, TN","Millington","TN",-89.897308,35.341474,NA,2896,"sn86063034","-81.0912, 32.080899","-89.897308, 35.341474",554,"N","1890s","Georgia","South"
"287",303,8673,"The morning news ","Savannah, Georgia",-81.0912,32.080899,"Savannah","GA","10/27/1894",1894,"seq-1","https://articleextractor.org/pages/8673/gu_drew_ver02/sn86063034/1894/10/27/ed-1/seq-1/1","Millington, TN","Millington","TN",-89.897308,35.341474,NA,2897,"sn86063034","-81.0912, 32.080899","-89.897308, 35.341474",554,"N","1890s","Georgia","South"
"288",304,8676,"Saint Mary's beacon ","Leonard Town, Maryland",-76.63579,38.291238,"Leonard Town","MD","3/1/1894",1894,"seq-2","https://articleextractor.org/pages/8676/mdu_cain_ver02/sn82006687/1894/03/01/ed-1/seq-2/1","Allegany County, NC","Allegany County","NC",-81.119608,36.494084,NA,2898,"sn82006687","-76.63579, 38.291238","-81.119608, 36.494084",276,"N","1890s","Maryland","South"
"289",305,8677,NA,"NA, Minnesota",-94.6859,46.729553,NA,"MN","11/23/1894",1894,"seq-1","https://articleextractor.org/pages/8677/mnhi_neon_ver01/sn89064526/1894/11/23/ed-1/seq-1/1","Atchison, KS","Atchison","KS",-95.121636,39.563052,"attempted lynching stopped - MB",2899,"sn89064526","-94.6859, 46.729553","-95.121636, 39.563052",496,"N","1890s","Minnesota","North Central"
"290",306,8683,"Iowa state bystander ","Des Moines, Iowa",-93.62496,41.586835,"Des Moines","IA","10/26/1894",1894,"seq-1","https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186/1894/10/26/ed-1/seq-1/1","no city listed, OH","no city listed","OH",-82.907123,40.417287,"attempted lynching",2901,"sn83025186","-93.62496, 41.586835","-82.907123, 40.417287",565,"N","1890s","Iowa","North Central"
"291",307,8683,"Iowa state bystander ","Des Moines, Iowa",-93.62496,41.586835,"Des Moines","IA","10/26/1894",1894,"seq-1","https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186/1894/10/26/ed-1/seq-1/1","no city listed, OH","no city listed","OH",-82.907123,40.417287,"attempted lynching",2902,"sn83025186","-93.62496, 41.586835","-82.907123, 40.417287",565,"N","1890s","Iowa","North Central"
