docname,Newspaper,Year,Beginning of Passage,keyword,End of Passage,Code,Comments
14292_0.txt,"Arizona daily citizen. (Tucson, Ariz. T...)",1901,"20 . - will god- ley , a negro was hanged by a mob last night for outraging and murdering miss caselle wild . jean carter ano.her negro confessed to being implicated and was riddled with bullets . george lark a rallroad porter was implicated by carter's confession and the",mob,will lynch him if he is captured . later the mob broke into the local arsenal and armed themselves with rifles . every negro residence in the city has been burned and every negro driven from town . negro named pete hampton is said to a have been cremated in,NA,NA
14292_0.txt,"Arizona daily citizen. (Tucson, Ariz. T...)",1901,by a mob last night for outraging and murdering miss caselle wild . jean carter ano.her negro confessed to being implicated and was riddled with bullets . george lark a rallroad porter was implicated by carter's confession and the mob will lynch him if he is captured . later the,mob,broke into the local arsenal and armed themselves with rifles . every negro residence in the city has been burned and every negro driven from town . negro named pete hampton is said to a have been cremated in his home and it is reported that two others were lynched,NA,NA
14294_0.txt,"The Dolores star (Dolores, Montez...)",1907,six men alleged to be the leaders of the,mob,"that lynched a negro at sterrett , i . t . , march 31 , have been ar rested by united states marshals held on a charge of murder . and",NA,NA
14295_0.txt,"Arizona republican (Phoenix, Ariz.)",1920,"and herman arthur , tuesday night at paris , texas , is contained in a telegram received late today by acting governor johnson from the national association for the adancement of colored people . the telegram urged the governor to take immediate steps to apprehend and punish members of the",mob,which lynched the negroes . two texas national guard companies were ordered to paris today but the order was cancelled when the governor was notified local officers could contro the situation . the negroes are charged with killing white farmer and his son during a a dispute over money .,NA,NA
14295_1.txt,"Arizona republican (Phoenix, Ariz.)",1920,"negro taken from sheriff and hung durnham , n . c . , july 7 . - taken from the county jail at roxboro by a",mob,"of more than 200 masked men after he had been arrested on a charge of attacking a 13- year- old while girl , ed roach , 27 , a negro , was lynched today in a church yard . roach early was hanged to a tree limb with a chain",NA,NA
14295_1.txt,"Arizona republican (Phoenix, Ariz.)",1920,"negro taken from sheriff and hung durnham , n . c . , july 7 . - taken from the county jail at roxboro by a mob of more than 200",masked,"men after he had been arrested on a charge of attacking a 13- year- old while girl , ed roach , 27 , a negro , was lynched today in a church yard . roach early was hanged to a tree limb with a chain instead of a rope .",NA,NA
14295_1.txt,"Arizona republican (Phoenix, Ariz.)",1920,"negro taken from sheriff and hung durnham , n . c . , july 7 . - taken from the county jail at roxboro by a mob of more than 200",masked men,"after he had been arrested on a charge of attacking a 13- year- old while girl , ed roach , 27 , a negro , was lynched today in a church yard . roach early was hanged to a tree limb with a chain instead of a rope . as",NA,NA
14295_1.txt,"Arizona republican (Phoenix, Ariz.)",1920,"while girl , ed roach , 27 , a negro , was lynched today in a church yard . roach early was hanged to a tree limb with a chain instead of a rope . as his body swung it was riddled with bullets . sheriff thompson pleaded with the",mob,to let the law take its course . the leader is said to have given the sheriff three minutes to leave the vi- left cinity of the jail . he .,NA,NA
14299_0.txt,"The Colorado statesman (Denver, Colo.)",1908,"providence , ky . , june 1 , 08 . - on decoration day while all were busy with the celebrations , a",mob,"went to the jail and secured jake mcdonald ( one of the men who saved a negro from being lynched that shot a policeman ) and killed him , then returned his body to the jail . it has stired up the whole community but as yet nothing has been",NA,NA
14300_0.txt,"The Colorado statesman (Denver, Colo.)",1915,"courageous governor montgomery , ala . , jan . 7 . - declaring that the men composing the",mob,", which early on the morning of jan . 4th , took two negro prisoners from the elmore county jail and shot them to death , had brought reproach upon the state , and that such men never hesitate to bring the blush of shame to every honest and patriotic",NA,NA
14300_0.txt,"The Colorado statesman (Denver, Colo.)",1915,"charged . they were charged with the murder of one d . a . still well , and were in custody of the law , and they were awaiting their trial . "" "" there was absolutely no justification for this lynching . if those who were executed by the",mob,"were guilty , speedy trials could have been secured and their guilt established under the due and orderly processes of the law . those who have undertaken to perform the functions of judge , jury and executioner have brought merited re- proach upon our state . the history of every",NA,NA
14300_0.txt,"The Colorado statesman (Denver, Colo.)",1915,"have been secured and their guilt established under the due and orderly processes of the law . those who have undertaken to perform the functions of judge , jury and executioner have brought merited re- proach upon our state . the history of every state in the union shows that",mob,"or lynch law does not check , but only increase crime . there is absolutely no justification for lynch in alabama . law",NA,NA
14301_1.txt,"The Colorado statesman (Denver, Colo.)",1908,"oxford , miss . , sept . 9 . - former united states senator w . v . sullivan is quoted as follows with ref erence to the lynching last night : "" i led the",mob,"which lynched nelse patton and i'm proud of it . i directed every movement of the mob and i did everything i could to see that he was lynched . "" cut a white woman's throat- and a negro . i would not mind standing the consequences any time for",NA,NA
14301_1.txt,"The Colorado statesman (Denver, Colo.)",1908,". , sept . 9 . - former united states senator w . v . sullivan is quoted as follows with ref erence to the lynching last night : "" i led the mob which lynched nelse patton and i'm proud of it . i directed every movement of the",mob,"and i did everything i could to see that he was lynched . "" cut a white woman's throat- and a negro . i would not mind standing the consequences any time for lynching a man who cut a white woman's throat . i will lead a mob in such",NA,NA
14301_1.txt,"The Colorado statesman (Denver, Colo.)",1908,"of the mob and i did everything i could to see that he was lynched . "" cut a white woman's throat- and a negro . i would not mind standing the consequences any time for lynching a man who cut a white woman's throat . i will lead a",mob,"in such a case any time . "" the coroner's jury which conducted the inquest over the body of the negro today declared in its verdict that death was at the of parties unknown to them . hands",NA,NA
14302_0.txt,"The Elbert County tribune (Elbert, Elbert ...)",1915,"leo m . frank lynched hanged at marietta , ga . , near phagan home . warden , superintendent and guards of georgia state prison farm overpowered by",mob,". western newspaper union news service . milledgeville , ga.- a mob overpowered the warden , superintendent and guards of the georgia state prison farm near here at 11 o'clock monday night and quickly , got leo m . frank and rushed him away in an automo . bile .",NA,NA
14302_0.txt,"The Elbert County tribune (Elbert, Elbert ...)",1915,"leo m . frank lynched hanged at marietta , ga . , near phagan home . warden , superintendent and guards of georgia state prison farm overpowered by mob . western newspaper union news service . milledgeville , ga.- a",mob,"overpowered the warden , superintendent and guards of the georgia state prison farm near here at 11 o'clock monday night and quickly , got leo m . frank and rushed him away in an automo . bile . first reports that it might be friends of frank were dispersed when",NA,NA
14302_0.txt,"The Elbert County tribune (Elbert, Elbert ...)",1915,"prison farm near here at 11 o'clock monday night and quickly , got leo m . frank and rushed him away in an automo . bile . first reports that it might be friends of frank were dispersed when a prisoner said he had heard a mem ber of the",mob,"say that frank's body would be placed on the grave of mary fhagan at marietta . frank was serving a life term for the murder of the p'rl . atlanta , ga . , aug . 18 . - leo m . frank was kidnaped from the state prison farm",NA,NA
14302_0.txt,"The Elbert County tribune (Elbert, Elbert ...)",1915,"frank was kidnaped from the state prison farm at milledgeville , ga . , monday night and was lynched at marietta , ga . , the home of 15- year- old mary phagan , of whose murder he was convicted . reports received here say he was hanged by the",mob,"about five miles from milledgeville . the mob went to the prison and first put the warden and his assistant under guard in their homes , outside the prison walls . they then forced the stockade , awed the two guards and seized frank , who had just been discharged",NA,NA
14302_0.txt,"The Elbert County tribune (Elbert, Elbert ...)",1915,"at milledgeville , ga . , monday night and was lynched at marietta , ga . , the home of 15- year- old mary phagan , of whose murder he was convicted . reports received here say he was hanged by the mob about five miles from milledgeville . the",mob,"went to the prison and first put the warden and his assistant under guard in their homes , outside the prison walls . they then forced the stockade , awed the two guards and seized frank , who had just been discharged from the prison hospital after recovering from the",NA,NA
14302_1.txt,"The Elbert County tribune (Elbert, Elbert ...)",1915,georgia,mob,"lynches negro bainbridge , ga.- john riggins , a ne gro , 63 years old , was lynched here by a posse . he was accused of assault ing a woman who identified him as her assailant , ,",NA,NA
14308_0.txt,"Norwich bulletin (Norwich, Conn.)",1916,,mob,"of 300 lynches negro . ocala , fla . , jan . 28 . - a mob of 300 white men tonight lynched richard anderson , a negro accused of attacking white woman near williston . a",NA,NA
14308_0.txt,"Norwich bulletin (Norwich, Conn.)",1916,"mob of 300 lynches negro . ocala , fla . , jan . 28 . - a",mob,"of 300 white men tonight lynched richard anderson , a negro accused of attacking white woman near williston . a",NA,NA
14311_0.txt,"The daily morning journal and courier (New Haven, Conn...)",1900,,mob,"lynches two negroes citizens of rockport , ind avenge a murder . a white barber assassinated and robbed by the two negroes- run down by bloodhounds- brought to the jall and lynched- one shot to death in hts cell . owensboro , ky . , dec . 16 . -",NA,NA
14311_0.txt,"The daily morning journal and courier (New Haven, Conn...)",1900,"to the jall and lynched- one shot to death in hts cell . owensboro , ky . , dec . 16 . - jim henderson and bud rowland , negroes , were hanged at 8 o'clock to- night in the jail yard at rockport , ind . , by a",mob,"of 500 henderson and persons . rowland waylaid , murdered and then robbed r . s . simons , a white barber , early this morning . the two men were suspected and arrested and by the aid of a bloodhound their guilt was estab henderson was shot to death",NA,NA
14312_0.txt,"The daily morning journal and courier (New Haven, Conn...)",1899,a prisoner placed in his charge as he is for the property confided to his care . the case comes up on a suit for damages brought against an indiana sheriff by the administrator of the es tate of a man who had been taken from the sheriff by a,mob,"and lynched . it is alleged that the sheriff was careless and negligent , and permitted a mob to assemble and left the jail without a proper guard . on such a showing , ac cording to judge baker , the sheriff is civilly liable for resulting from a breach",NA,NA
14312_0.txt,"The daily morning journal and courier (New Haven, Conn...)",1899,"case comes up on a suit for damages brought against an indiana sheriff by the administrator of the es tate of a man who had been taken from the sheriff by a mob and lynched . it is alleged that the sheriff was careless and negligent , and permitted a",mob,"to assemble and left the jail without a proper guard . on such a showing , ac cording to judge baker , the sheriff is civilly liable for resulting from a breach of official damages duty .",NA,NA
14315_1.txt,"Connecticut western news (Salisbury, Litc...)",1878,"-edgar freeman , the ansonia negro charged with rape and now in jail , complains great ly of pain in his back and side , due , it is thought , to the fact that his ribs , which were broken at the time the",mob,"attempted to lynch him , and have not yet knitted together he will probably be tried in january . .",NA,NA
14317_0.txt,Morning journal and courier (New Haven [Conn...),1891,"at 10 : 50 o'clock yesterday morning jim bailey , the negro who criminally assaulted mrs . folsom thursday at little rock , ark . , was taken from jail at that place by a",mob,and hanged a rail road crossing . to,NA,NA
14318_0.txt,Morning journal and courier (New Haven [Conn...),1884,"he deserved his fate . jacksonville 12 . - jones , fla . , sept . jackson , negro , brutally assaulted an aged white woman yesterday near oxford . late last night he was taken from the by a",masked,mob and lynched . officers,NA,NA
14318_0.txt,Morning journal and courier (New Haven [Conn...),1884,"he deserved his fate . jacksonville 12 . - jones , fla . , sept . jackson , negro , brutally assaulted an aged white woman yesterday near oxford . late last night he was taken from the by a masked",mob,and lynched . officers,NA,NA
14321_0.txt,"Waterbury evening Democrat (Waterbury, Conn.) 1887-1895",1893,"a legislator a voluntary prisoner . memphis , oct . 17 . -g . w . mckie , a member of the mississippi legislature from marshall county , has surrendered to the sheriff at holly springs to escape the wrath of a",mob,"of negroes bent on lynch ing him . mckie shot and fatally wounded john dean , a negro employed on plantation , in a difficulty saturday . his",NA,NA
14322_0.txt,"Waterbury evening Democrat (Waterbury, Conn.) 1887-1895",1895,"march , st . louis 8 . - a special from",mob,"came to lynch the bank robber . adel , is . , says a mob of masked and well armed farmers mounted , on blanketed , rode into town and demanded of sheriff payne that he give them his pris- crawford oner , one of the men who robbed the",NA,NA
14322_0.txt,"Waterbury evening Democrat (Waterbury, Conn.) 1887-1895",1895,"march , st . louis 8 . - a special from mob came to lynch the bank robber . adel , is . , says a",mob,"of masked and well armed farmers mounted , on blanketed , rode into town and demanded of sheriff payne that he give them his pris- crawford oner , one of the men who robbed the bank . the sheriff refused and told the crowd that he would defend the pris-",NA,NA
14322_0.txt,"Waterbury evening Democrat (Waterbury, Conn.) 1887-1895",1895,"march , st . louis 8 . - a special from mob came to lynch the bank robber . adel , is . , says a mob of",masked,"and well armed farmers mounted , on blanketed , rode into town and demanded of sheriff payne that he give them his pris- crawford oner , one of the men who robbed the bank . the sheriff refused and told the crowd that he would defend the pris- oher with",NA,NA
14322_0.txt,"Waterbury evening Democrat (Waterbury, Conn.) 1887-1895",1895,"that he give them his pris- crawford oner , one of the men who robbed the bank . the sheriff refused and told the crowd that he would defend the pris- oher with his after some parleying and promise from the shorts that he would a not crawford county the",mob,departed,NA,NA
14324_0.txt,"New Britain herald (New Britain, Co...)",1916,,mob,"is dispersed . after ahe unsuccessful pursuit of daniels in a motor procession to ottawa last night , members of the mob had dispersed , it is believed , since the procession as a unit has not returned to this city . sheriff eley escaped from the mob at ottawa",NA,NA
14324_0.txt,"New Britain herald (New Britain, Co...)",1916,"mob is dispersed . after ahe unsuccessful pursuit of daniels in a motor procession to ottawa last night , members of the",mob,"had dispersed , it is believed , since the procession as a unit has not returned to this city . sheriff eley escaped from the mob at ottawa and is under the care of a physician . he is suffering , it is understood , from two broken ribs and",NA,NA
14324_0.txt,"New Britain herald (New Britain, Co...)",1916,"mob is dispersed . after ahe unsuccessful pursuit of daniels in a motor procession to ottawa last night , members of the mob had dispersed , it is believed , since the procession as a unit has not returned to this city . sheriff eley escaped from the",mob,"at ottawa and is under the care of a physician . he is suffering , it is understood , from two broken ribs and numerous minor injuries . following the capture of the negro by a posse yesterday , after mrs . ba ber had been attacked in her home",NA,NA
14324_0.txt,"New Britain herald (New Britain, Co...)",1916,"and is under the care of a physician . he is suffering , it is understood , from two broken ribs and numerous minor injuries . following the capture of the negro by a posse yesterday , after mrs . ba ber had been attacked in her home , the",mob,"spirit began to develop throughout the countryside . eley expected trouble and quietly removed the prisoner to ottawa . he was la ter transferred another place . to while the sheriff was out of the city the mob stormed the jail , forced the sheriff's wife to open the cells",NA,NA
14324_0.txt,"New Britain herald (New Britain, Co...)",1916,"mrs . ba ber had been attacked in her home , the mob spirit began to develop throughout the countryside . eley expected trouble and quietly removed the prisoner to ottawa . he was la ter transferred another place . to while the sheriff was out of the city the",mob,"stormed the jail , forced the sheriff's wife to open the cells , over powered the police and held the city at its mercy . sheriff eley returned last night and the mob demanded that he tell where he had hidden daniels . when the sheriff refused , the crowd",NA,NA
14324_0.txt,"New Britain herald (New Britain, Co...)",1916,"was la ter transferred another place . to while the sheriff was out of the city the mob stormed the jail , forced the sheriff's wife to open the cells , over powered the police and held the city at its mercy . sheriff eley returned last night and the",mob,"demanded that he tell where he had hidden daniels . when the sheriff refused , the crowd turned their wrath upon him . he escaped from his home at the jail as the mob battered down the doors , but was captured at the elks ' home . he",NA,NA
14324_0.txt,"New Britain herald (New Britain, Co...)",1916,"police and held the city at its mercy . sheriff eley returned last night and the mob demanded that he tell where he had hidden daniels . when the sheriff refused , the crowd turned their wrath upon him . he escaped from his home at the jail as the",mob,"battered down the doors , but was captured at the elks ' home . he",NA,NA
14324_1.txt,"New Britain herald (New Britain, Co...)",1916,"noose around sheriff's neck . a rope was torn from a street car trolley and a noose was placed around eley's neck . he was told he would be hanged if he did not tell where his prisoner was , and the",mob,"tore his clothing from his body and kicked and beat him . chief of po lice mckinney was helpless and at tempted to deputize citizens to aid him in rescuing the sheriff , but the men refused to oppose the mob . eley finally surrendered to escape death , and",NA,NA
14324_1.txt,"New Britain herald (New Britain, Co...)",1916,"not tell where his prisoner was , and the mob tore his clothing from his body and kicked and beat him . chief of po lice mckinney was helpless and at tempted to deputize citizens to aid him in rescuing the sheriff , but the men refused to oppose the",mob,". eley finally surrendered to escape death , and the mob entered automobiles and started with the sheriff as a prisoner for ottawa , just as the fire depart ment was called out . the chemical trucks were run through the streets to disperse the mob on foot . when",NA,NA
14324_1.txt,"New Britain herald (New Britain, Co...)",1916,"his clothing from his body and kicked and beat him . chief of po lice mckinney was helpless and at tempted to deputize citizens to aid him in rescuing the sheriff , but the men refused to oppose the mob . eley finally surrendered to escape death , and the",mob,"entered automobiles and started with the sheriff as a prisoner for ottawa , just as the fire depart ment was called out . the chemical trucks were run through the streets to disperse the mob on foot . when the motor mob reached ottawa they found their prisoner gone .",NA,NA
14324_1.txt,"New Britain herald (New Britain, Co...)",1916,"refused to oppose the mob . eley finally surrendered to escape death , and the mob entered automobiles and started with the sheriff as a prisoner for ottawa , just as the fire depart ment was called out . the chemical trucks were run through the streets to disperse the",mob,on foot . when the motor mob reached ottawa they found their prisoner gone . and during the confusion sheriff eley of escaped . during the remainder the night it was momentarily expect that the mob would re- form in ed upon the return of the motor party lima .,NA,NA
14324_1.txt,"New Britain herald (New Britain, Co...)",1916,"finally surrendered to escape death , and the mob entered automobiles and started with the sheriff as a prisoner for ottawa , just as the fire depart ment was called out . the chemical trucks were run through the streets to disperse the mob on foot . when the motor",mob,reached ottawa they found their prisoner gone . and during the confusion sheriff eley of escaped . during the remainder the night it was momentarily expect that the mob would re- form in ed upon the return of the motor party lima .,NA,NA
14324_1.txt,"New Britain herald (New Britain, Co...)",1916,called out . the chemical trucks were run through the streets to disperse the mob on foot . when the motor mob reached ottawa they found their prisoner gone . and during the confusion sheriff eley of escaped . during the remainder the night it was momentarily expect that the,mob,would re- form in ed upon the return of the motor party lima .,NA,NA
14327_0.txt,Waterbury Democrat (Waterbury [Conn...),1901,montana . in lynching jailer released prisoner at demand of 200,masked,"men . helena , mont , oct 2 . - james edward brady , who assaulted ida pugsley , years old , in helena yesterday , was this morning , about 1 : 30 o'clock , taken from the jail by a mob and hanged to a telegraph pole in",NA,NA
14327_0.txt,Waterbury Democrat (Waterbury [Conn...),1901,montana . in lynching jailer released prisoner at demand of 200,masked men,". helena , mont , oct 2 . - james edward brady , who assaulted ida pugsley , years old , in helena yesterday , was this morning , about 1 : 30 o'clock , taken from the jail by a mob and hanged to a telegraph pole in the",NA,NA
14327_0.txt,Waterbury Democrat (Waterbury [Conn...),1901,"jailer released prisoner at demand of 200 masked men . helena , mont , oct 2 . - james edward brady , who assaulted ida pugsley , years old , in helena yesterday , was this morning , about 1 : 30 o'clock , taken from the jail by a",mob,and hanged to a telegraph pole in the haymarket square about three blocks from the jail . the crowd was orderly and after the man had been hanged quickly dispersed . there were about 200 men engaged in the affair and they were all masked . they attacked the jail,NA,NA
14327_0.txt,Waterbury Democrat (Waterbury [Conn...),1901,from the jail by a mob and hanged to a telegraph pole in the haymarket square about three blocks from the jail . the crowd was orderly and after the man had been hanged quickly dispersed . there were about 200 men engaged in the affair and they were all,masked,. they attacked the jail door with a bat- tering ram and it soon yielded . on gaining admittance they demanded at the point of a gun the keys of the jailer and threatened if he did not yield the man they would kill him . the jailer then got,NA,NA
14327_0.txt,Waterbury Democrat (Waterbury [Conn...),1901,it soon yielded . on gaining admittance they demanded at the point of a gun the keys of the jailer and threatened if he did not yield the man they would kill him . the jailer then got the man out of his cell and he was given to the,mob,". when they first took him brady asked : "" what is it , gentlemen ? "" the march to the hanging place was quiet . brady was given a chance to say a word . he declared that they had the wrong man , although he had been positively",NA,NA
14327_1.txt,Waterbury Democrat (Waterbury [Conn...),1901,"to death on saturday night , september 21 . the boys were taken from the jail and hung from the chesapeake and ohio tracks five hundred yards from the jail . the jailer refused to open the doors when the lynchers appeared , but they were tered down by the",mob,. bat,NA,NA
14328_0.txt,Waterbury evening Democrat (Waterbury [Conn...),1903,"supposed murderer lynched . joplin , mo . , april 16 . - a negro supposed to have murdered policeman leslie was lynched by a",mob,"here . the negro was captured in a slaughter house , to and from the jail by a mob . taken",NA,NA
14328_0.txt,Waterbury evening Democrat (Waterbury [Conn...),1903,"supposed murderer lynched . joplin , mo . , april 16 . - a negro supposed to have murdered policeman leslie was lynched by a mob here . the negro was captured in a slaughter house , to and from the jail by a",mob,. taken,NA,NA
14330_0.txt,The San Francisco call (San Francisco [...),1900,", march 26 . - lewis harris colored ) , who was arrested here last ( night for committing a felonious assault ion miss annie mcllvaine , a recluse , was lynched to- night . sheriff kinart and his deputy fought to protect their prisoner , and fired into the",mob,"wounding two of them . they were overpowered , .",NA,NA
14335_0.txt,The San Francisco call (San Francisco [...),1901,"carrollton , iii . , march 1 . - guarded by four companies of state militia to protect him from a",mob,"determined on lynch ing , albert shenkle , who , on december 25 last , assaulted the 16- year- old daughter of charles h . giller of carrollton , was early to- day taken from the county jail at springfield and brought to carrollton on a special chicago and alton",NA,NA
14336_0.txt,The San Francisco call (San Francisco [...),1901,". , march 13 . - governor sayers will to- morrow send a special message to the legislature on the subject of the burning of the negro , john henderson , at corsicana to- day . he feels that the state has been greatly outraged by the act of the",mob,in lynching the prisoner and he will recommend vigorous legislation with the view of bringing the guilty members of the mob to justice and to protest against such crimes in state in the future . this . him upon sicana authorities imposed texas executive declares that cor- governor is indignant,NA,NA
14336_0.txt,The San Francisco call (San Francisco [...),1901,"of the burning of the negro , john henderson , at corsicana to- day . he feels that the state has been greatly outraged by the act of the mob in lynching the prisoner and he will recommend vigorous legislation with the view of bringing the guilty members of the",mob,to justice and to protest against such crimes in state in the future . this . him upon sicana authorities imposed texas executive declares that cor- governor is indignant .,NA,NA
14337_0.txt,The San Francisco call (San Francisco [...),1903,"henderson , texas , oct . 7 . - late last night",a party of,"young white men went to the home of bob willis , a negro , for the purpose of flogging him for some alleged offense , ot clearly stated . the negro warned them not to approach , but they continued advancing and the negro fired , killing charles brown ,",NA,NA
14337_0.txt,The San Francisco call (San Francisco [...),1903,", ot clearly stated . the negro warned them not to approach , but they continued advancing and the negro fired , killing charles brown , a young man recently from georgia , and wounding a young man named . negro is in the hands of the gossett sheriff .",mob,member of . kills negro,NA,NA
14337_1.txt,The San Francisco call (San Francisco [...),1903,"nashville , tenn . , oct . 7 . - the grand jury of moore county has returned a joint indictment against twenty- two members of a",mob,"charged with lynching the negro , small , on the night of september 24 allen",NA,NA
14342_0.txt,The San Francisco call (San Francisco [...),1907,murderer,mob,"hangs wife jan . 9 . charles city , iowa , james cullen was lynched here to night for killing his wife . more than 1000 men helped to batter through the walls of the jail with steel rails to dragging him get at their prisoner . through the streets",NA,NA
14342_0.txt,The San Francisco call (San Francisco [...),1907,"jan . 9 . charles city , iowa , james cullen was lynched here to night for killing his wife . more than 1000 men helped to batter through the walls of the jail with steel rails to dragging him get at their prisoner . through the streets , the",mob,hanged despite resistance by the authorities him .,NA,NA
14345_1.txt,The San Francisco call (San Francisco [...),1909,"texas negro lynched rosebud , tex . , dec . 20 . - coke mills , a negro , who shot and fatally wounded city marshal williams today , was . tak en jail by a",mob,tonight and lynched from .,NA,NA
14346_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1890-1893,1892,"day in claiborne county , near cumberland gap , deputy thompson was shot and killed by a horse thief whom he was trying to capture . one horse thief was wounded and another captured , and both were brought to the gap , where it was reported early this morning",mob,was about to lynch them . a,NA,NA
14348_0.txt,Sacramento daily record-union (Sacramento [Cal...),1889,"ned gleason and thomas allison . he at once left the girls he had with him in charge of some neighbors and started after the others . after securing the other two girls without any serious trouble . he started back , but when about two miles from home a",mob,"took possession of him and strung him up to a tree . the old man was terribly strict with the girls . he would hardly let them out of his sight , and hence the elopement . he always bragged that he would not be both ered with lazy sons-",NA,NA
14350_0.txt,The morning call (San Francisco [...),1891,"murderer negro lynched . jackson ( tenn . ) , july 26 . - john brown a negro , who shot and mortally wounded switchman gardner , was taken from the jail last night by a",mob,500 men and hanged to a tree in the court- of house yard .,NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,threatens to hang others the,mob,"threatens to return to the and hang four other jail negroes charges with murder . circult attorney arthur sager of st . louis was a witness of the tragedy . he slipped down into the cellar of the jail and cut off the gas , hoping to thus the mob",NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"mob threatens to return to the and hang four other jail negroes charges with murder . circult attorney arthur sager of st . louis was a witness of the tragedy . he slipped down into the cellar of the jail and cut off the gas , hoping to thus the",mob,"and defeat its he was second too late as secure a the mob had the negroes . sheriff horner tried to argue with the mob , but it was determined and hoot ed and insulted , him . jailer king was assaulted when he refused to give up the keys",NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"with murder . circult attorney arthur sager of st . louis was a witness of the tragedy . he slipped down into the cellar of the jail and cut off the gas , hoping to thus the mob and defeat its he was second too late as secure a the",mob,"had the negroes . sheriff horner tried to argue with the mob , but it was determined and hoot ed and insulted , him . jailer king was assaulted when he refused to give up the keys . he final ly gave the mob some keys which were not for",NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"a witness of the tragedy . he slipped down into the cellar of the jail and cut off the gas , hoping to thus the mob and defeat its he was second too late as secure a the mob had the negroes . sheriff horner tried to argue with the",mob,", but it was determined and hoot ed and insulted , him . jailer king was assaulted when he refused to give up the keys . he final ly gave the mob some keys which were not for the negroes ' cell , and the mob was forced to smash",NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"too late as secure a the mob had the negroes . sheriff horner tried to argue with the mob , but it was determined and hoot ed and insulted , him . jailer king was assaulted when he refused to give up the keys . he final ly gave the",mob,"some keys which were not for the negroes ' cell , and the mob was forced to smash in the iron bars . sheriff wilson crane of polk county was present and tried to induce the mob not to hang the negroes . the mob beside wrecking the jail attacked",NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"to argue with the mob , but it was determined and hoot ed and insulted , him . jailer king was assaulted when he refused to give up the keys . he final ly gave the mob some keys which were not for the negroes ' cell , and the",mob,"was forced to smash in the iron bars . sheriff wilson crane of polk county was present and tried to induce the mob not to hang the negroes . the mob beside wrecking the jail attacked the sheriff's house , demolished the furniture and rendered the sheriff's wife unconscious by",NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"he refused to give up the keys . he final ly gave the mob some keys which were not for the negroes ' cell , and the mob was forced to smash in the iron bars . sheriff wilson crane of polk county was present and tried to induce the",mob,"not to hang the negroes . the mob beside wrecking the jail attacked the sheriff's house , demolished the furniture and rendered the sheriff's wife unconscious by threats and violence . two months ago t . m . kinney , a . prominent tailor , was assaulted and two negro",NA,NA
14352_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"he final ly gave the mob some keys which were not for the negroes ' cell , and the mob was forced to smash in the iron bars . sheriff wilson crane of polk county was present and tried to induce the mob not to hang the negroes . the",mob,"beside wrecking the jail attacked the sheriff's house , demolished the furniture and rendered the sheriff's wife unconscious by threats and violence . two months ago t . m . kinney , a . prominent tailor , was assaulted and two negro suspects are in jail . later an old",NA,NA
14352_1.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,missouri,mob,"wreaks its terrible revenge demolish jall , take two colored youths suspected of assault , hang and roast them in public by associated press springfield , mo . , april 14 . - a mob tonight took two negroes from the county jail here and hanged them to the electric",NA,NA
14352_1.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"missouri mob wreaks its terrible revenge demolish jall , take two colored youths suspected of assault , hang and roast them in public by associated press springfield , mo . , april 14 . - a",mob,"tonight took two negroes from the county jail here and hanged them to the electric tower in the center of the public square and built a fire under the men as they hung . the negroes were horace duncan and james copeland , both under 21 years of age .",NA,NA
14352_1.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"telephone poles and sledge hammers literally tore the jail to pieces . final ly the two negro suspects were dragged from the place and taken to the cen ter of the public square and hanged . it is fully a mile from the jail to the square , and the",mob,"marched down one of the principal streets of the town , shouting and firing pistols . mabel edmondson came here recent from monett , mo . , to obtain employ ment as a domestic servant . last night she was riding in 8 buggy with charles cooper , of a",NA,NA
14352_2.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1906,"culprit another lynch by associated press . springfield , 15 . will allen , a negro charged with the murder of a man named rourke , last january , was taken from jail by the",mob,"that lynched duncan and cope land , and hanged and roasted the public square . in",NA,NA
14353_0.txt,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1905,negro murderer lynched,mob,"jury disagrees and kentucky takes case into its own the hands press associated . by london , ky . , oct . 17 . - virgil bow ers , a negro , was taken from the county jail here last night and hanged to an apple tree on the road",NA,NA
